lemmatized_question,sequence
who {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
what has happen to {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <=  {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was {ORGANIZATION} like between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how did {ORGANIZATION} do between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how was {ORGANIZATION} on between years {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was {ORGANIZATION} like between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how did {ORGANIZATION} do between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how was {ORGANIZATION} on between {YEAR1} and {YEAR2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was {ORGANIZATION} like after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how did {ORGANIZATION} do after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how was {ORGANIZATION} after the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what was {ORGANIZATION} like after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how did {ORGANIZATION} do after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
how was {ORGANIZATION} after {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} after the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {ORGANIZATION} like between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {ORGANIZATION} do between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {ORGANIZATION} on between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} on or after {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {ORGANIZATION} like between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {ORGANIZATION} do between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {ORGANIZATION} on between dates {DATE1} and {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {ORGANIZATION} like between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {ORGANIZATION} do between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {ORGANIZATION} on between the date {DATE1} and the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what was {ORGANIZATION} like from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how did {ORGANIZATION} do from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
how was {ORGANIZATION} on from the date {DATE1} to the date {DATE2},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened >= {DATE1} AND happened <= {DATE2} | VERTEX any | CONDITION any
is {ORGANIZATION} {VERB} ,VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
was {ORGANIZATION} {VERB},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
were {ORGANIZATION} {VERB},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
has {ORGANIZATION} {VERB},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
have {ORGANIZATION} {VERB},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
had {ORGANIZATION} {VERB},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
are {ORGANIZATION} {VERB},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
is {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
was {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
were {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
has {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
have {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
had {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
are {ORGANIZATION} {VERB} in {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
is {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
was {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
were {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
has {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
have {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
had {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
are {ORGANIZATION} {VERB} {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
is {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
was {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
were {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
has {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
have {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
had {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
are {ORGANIZATION} {VERB} in the city {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
is {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
was {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
were {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
has {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
have {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
had {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
are {ORGANIZATION} {VERB} in the state {LOCATION},VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE {VERB} | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how are {ORGANIZATION} and {LOCATION} related,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how are {ORGANIZATION} and {PERSON} related,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how are {ORGANIZATION1} and {ORGANIZATION2} related,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
how are {PERSON1} and {PERSON2} related,OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
how are {ORGANIZATION} and {LOCATION} connected,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how are {ORGANIZATION} and {PERSON} connected,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how are {ORGANIZATION1} and {ORGANIZATION2} connected,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
how are {PERSON1} and {PERSON2} connected,OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
how related are {ORGANIZATION} and {LOCATION},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how related are {ORGANIZATION} and {PERSON},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how related are {ORGANIZATION1} and {ORGANIZATION2} ,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
how related are {PERSON1} and {PERSON2},OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
how connected are {ORGANIZATION} and {LOCATION},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how connected are {ORGANIZATION} and {PERSON},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
